opened,closed,side,entry_type,entry,exit,amount,leverage,gross_pnl,net_pnl,fees,reason,sentiment,tp1_hit,is_pyramid
2017-09-29 00:00:00+00:00,2017-09-29 08:00:00+00:00,short,squeeze_breakout,280.0,297.01,1.6314481044126774,0.45680546923554965,-27.294126786824076,-28.235488657551237,0.9413618707271589,regime_flip,68.46952986952044,False,False
2017-10-03 08:00:00+00:00,2017-10-04 04:00:00+00:00,short,squeeze_breakout,291.0,295.89,1.8865576973120086,0.5652053274139833,-8.676278849937901,-9.783480696913346,1.1072018469754448,regime_flip,82.65639128982485,False,False
2017-10-09 16:00:00+00:00,2017-10-10 00:00:00+00:00,short,squeeze_breakout,288.26,298.55,4.65321581706103,1.395807030129124,-46.54025476613208,-49.27080833974166,2.7305535736095834,regime_flip,64.14635409063824,False,False
2017-10-18 00:00:00+00:00,2017-10-18 20:00:00+00:00,short,squeeze_breakout,305.51,309.7,3.561322611462937,1.1951491442542772,-13.833922071001655,-16.02488335479977,2.1909612837981136,regime_flip,53.03685262045889,False,False
2017-10-18 08:00:00+00:00,2017-10-18 20:00:00+00:00,short,squeeze_breakout,297.25,309.7,2.835256361040271,0.9268701831294618,-34.456161741632116,-36.17702058996551,1.7208588483333924,regime_flip,46.08787657607951,False,True
2017-10-23 12:00:00+00:00,2017-10-24 00:00:00+00:00,short,squeeze_breakout,279.48,298.44,4.33848188411344,1.416112920738329,-81.04509760581871,-83.55239305628555,2.5072954504668394,stop_loss,31.01123369533989,False,False
2017-10-29 12:00:00+00:00,2017-11-01 08:00:00+00:00,long,squeeze_breakout,308.11,297.92,7.245022088331257,2.893536810330371,-71.59451132445975,-75.98521206065114,4.390700736191391,stop_loss,59.645335658532545,False,False
2017-11-02 00:00:00+00:00,2017-11-03 08:00:00+00:00,short,squeeze_breakout,285.95,294.64,4.815416530266331,1.986256512031751,-40.46900129118475,-43.26478397449208,2.795782683307329,stop_loss,63.198067438761754,False,False
2017-11-23 08:00:00+00:00,2017-11-29 16:00:00+00:00,long,squeeze_breakout,398.03,419.76,2.3515440849704254,1.4430713453321244,93.92779593229629,91.96283393717458,1.964961995121712,stop_loss,70.33333333333333,True,False
2017-11-23 12:00:00+00:00,2017-11-29 16:00:00+00:00,long,squeeze_breakout,411.5,419.76,1.6992241437559337,1.0796091379618062,56.56972058185066,55.11538862169283,1.4543319601578286,stop_loss,70.0,True,True
2017-11-23 16:00:00+00:00,2017-11-29 16:00:00+00:00,long,squeeze_breakout,417.3,419.76,1.6171525566498406,1.0430726066995415,44.46732899596764,43.073860980953604,1.3934680150140348,stop_loss,73.66666666666666,True,True
2017-11-30 00:00:00+00:00,2017-11-30 12:00:00+00:00,long,mean_reversion,450.23,392.77,0.8033282045538365,0.43240265620283724,-45.7975561761272,-46.47476185256608,0.6772056764388841,stop_loss,57.07189883372492,False,False
2017-11-30 16:00:00+00:00,2017-12-03 20:00:00+00:00,long,mean_reversion,431.09,460.3,0.853467456797184,0.46595209174009705,25.297705698996474,24.536933342682033,0.760772356314442,stop_loss,49.94711172394935,False,False
2017-12-11 20:00:00+00:00,2017-12-19 00:00:00+00:00,long,squeeze_breakout,508.7,809.01,0.4416321526207485,0.2760672937771345,91.11476344615131,90.57455678890486,0.5402066572464627,take_profit_full,70.0,True,False
2017-12-12 00:00:00+00:00,2017-12-19 04:00:00+00:00,long,squeeze_breakout,530.71,835.0,0.30627899628168553,0.19979606627909946,69.50564147927166,69.1112077308852,0.3944337483864617,take_profit_full,70.0,True,True
2017-12-12 12:00:00+00:00,2017-12-21 12:00:00+00:00,long,squeeze_breakout,609.5,723.0,0.260708775080502,0.19535682358328058,34.84881161062316,34.49631770418782,0.3524939064353435,stop_loss,70.0,True,True
2017-12-19 00:00:00+00:00,2017-12-21 12:00:00+00:00,long,squeeze_breakout,809.01,723.0,0.28811284471934245,0.24632753371030885,-24.547499601804244,-24.988891361042725,0.44139175923847984,stop_loss,73.33333333333334,False,True
2017-12-19 04:00:00+00:00,2017-12-21 12:00:00+00:00,long,squeeze_breakout,835.0,723.0,0.29414307612241397,0.24746975806451615,-32.698415057148146,-33.156689969746864,0.458274912598721,stop_loss,73.33333333333334,False,True
2017-12-22 08:00:00+00:00,2017-12-23 20:00:00+00:00,long,mean_reversion,647.0,640.34,0.7807951701711356,0.5324393378895229,-4.694921358239014,-5.700070212607124,1.0051488543681097,trend_reversal,39.341254001381714,False,False
2018-01-02 00:00:00+00:00,2018-01-08 00:00:00+00:00,long,squeeze_breakout,826.92,1208.55,1.0979924467586495,0.9632549819028997,299.9242349398567,297.8093148286836,2.1149201111731077,take_profit_full,73.92760127960561,True,False
2018-01-25 00:00:00+00:00,2018-01-30 00:00:00+00:00,long,squeeze_breakout,1108.51,1136.37,0.3378054604986119,0.3021090404132166,9.785720860508608,9.027388138344485,0.7583327221641238,stop_loss,47.43913640286759,False,False
2018-01-28 08:00:00+00:00,2018-01-30 00:00:00+00:00,long,squeeze_breakout,1264.28,1136.37,0.29801994101007995,0.3040725785340315,-37.74295000357913,-38.45839157496498,0.7154415713858484,stop_loss,65.30393810057184,False,True
2018-02-01 16:00:00+00:00,2018-02-01 20:00:00+00:00,short,squeeze_breakout,1012.03,1041.94,0.47864738604136897,0.4005647420996419,-13.831937802401939,-14.815065173909328,0.9831273715073907,regime_flip,47.28370750997017,False,False
2018-02-02 00:00:00+00:00,2018-02-02 12:00:00+00:00,short,squeeze_breakout,977.97,972.5,0.6956109234704244,0.5697509678930756,4.485278366209611,3.1285101283082524,1.3567682379013588,stop_loss,44.894291234276416,False,False
2018-02-02 04:00:00+00:00,2018-02-02 12:00:00+00:00,short,squeeze_breakout,931.94,972.5,0.4658241396933357,0.3637898678154137,-18.45970695721586,-19.346841081813437,0.8871341245975763,stop_loss,37.2278609168855,False,True
2018-02-02 08:00:00+00:00,2018-02-02 12:00:00+00:00,short,squeeze_breakout,847.01,972.5,0.45623173950389184,0.32394606556429234,-56.8660881446662,-57.69620635701093,0.8301182123447263,stop_loss,33.363933094989505,False,True
2018-02-20 20:00:00+00:00,2018-02-26 12:00:00+00:00,short,squeeze_breakout,882.99,875.05,0.7961535832507812,0.6284650001506339,7.024455103485853,5.62478525798765,1.3996698454982035,stop_loss,80.52990146949355,False,False
2018-02-21 12:00:00+00:00,2018-02-26 12:00:00+00:00,short,squeeze_breakout,838.0,875.05,0.976524962712275,0.7320299500831945,-35.36192194973686,-37.034758037111125,1.6728360873742627,stop_loss,73.63321871599756,False,True
2018-02-21 16:00:00+00:00,2018-02-26 12:00:00+00:00,short,squeeze_breakout,826.18,875.05,0.9386012210969952,0.6941851310842392,-45.09398811816424,-46.690764673531085,1.5967765553668412,stop_loss,71.68992486966897,False,True
2018-02-27 08:00:00+00:00,2018-03-02 00:00:00+00:00,short,mean_reversion,885.17,873.11,2.6874558550690844,2.29133973768983,34.789572911364516,30.064273030513643,4.725299880850869,trend_reversal,74.28470306662587,False,False
2018-03-04 04:00:00+00:00,2018-03-04 16:00:00+00:00,short,squeeze_breakout,839.97,864.33,1.4204511345644555,1.119391420230993,-33.40905329849005,-35.82992816712825,2.420874868638202,stop_loss,60.92549429445921,False,False
2018-03-06 16:00:00+00:00,2018-03-09 00:00:00+00:00,short,squeeze_breakout,811.6,677.93,1.847718183337587,1.4575484606613458,190.80757455144936,187.99766636272963,2.8099081887197186,take_profit_full,53.31532965468685,True,False
2018-03-07 04:00:00+00:00,2018-03-14 16:00:00+00:00,short,squeeze_breakout,786.0,616.8,1.0356229997672068,0.792324220535796,127.263567949393,125.76201816203053,1.5015497873624735,take_profit_full,48.67501675692354,True,True
2018-03-07 16:00:00+00:00,2018-03-18 00:00:00+00:00,short,squeeze_breakout,740.36,519.0,0.8031035773828106,0.5446547893103794,123.99948146519384,122.9337148317922,1.0657666334016325,take_profit_full,45.19538139762859,True,True
2018-04-08 16:00:00+00:00,2018-04-09 00:00:00+00:00,short,mean_reversion,399.39,411.82,4.591251710970979,1.2536905829596412,-55.235558746524596,-58.960028046981364,3.724469300456768,stop_loss,46.00078324250943,False,False
