opened,closed,side,entry_type,entry,exit,amount,leverage,gross_pnl,net_pnl,fees,reason,sentiment,tp1_hit
2017-09-29 00:00:00+00:00,2017-09-29 08:00:00+00:00,short,squeeze_breakout,280.0,297.01,1.0876320696084516,0.30453697949036646,-18.196084524549388,-18.82365910503416,0.6275745804847727,regime_flip,68.46952986952044,False
2017-10-03 08:00:00+00:00,2017-10-04 04:00:00+00:00,short,squeeze_breakout,291.0,295.89,0.8467261841667673,0.2512023677395482,-3.894093720982952,-4.391028851208586,0.49693513022563407,regime_flip,82.65639128982485,False
2017-10-09 16:00:00+00:00,2017-10-10 00:00:00+00:00,short,squeeze_breakout,288.26,298.55,1.4006232105375522,0.4135724533715924,-14.008669189761886,-14.830568895937427,0.8218997061755411,regime_flip,64.14635409063824,False
2017-10-18 00:00:00+00:00,2017-10-18 20:00:00+00:00,short,squeeze_breakout,305.51,309.7,0.9398533645007981,0.2987872860635693,-3.6508509958697033,-4.22905818424424,0.5782071883745361,regime_flip,53.03685262045889,False
2017-10-23 12:00:00+00:00,2017-10-24 00:00:00+00:00,short,squeeze_breakout,279.48,298.44,1.2116154735640692,0.3540282301845823,-22.63360708622304,-23.333823900705188,0.7002168144821469,stop_loss,31.01123369533989,False
2017-10-29 12:00:00+00:00,2017-11-01 08:00:00+00:00,long,squeeze_breakout,308.11,297.92,2.190065397807226,0.7233842025825928,-21.641985353937244,-22.969230686970356,1.3272453330331133,stop_loss,59.645335658532545,False
2017-11-02 00:00:00+00:00,2017-11-03 08:00:00+00:00,short,squeeze_breakout,285.95,294.64,1.5788072194009957,0.4965641280079378,-13.268374812206934,-14.185014495718958,0.9166396835120241,stop_loss,63.198067438761754,False
2017-11-23 08:00:00+00:00,2017-11-29 16:00:00+00:00,long,squeeze_breakout,398.03,419.76,0.8107881108979249,0.3607678363330311,32.38533383723915,31.707835237832292,0.6774985994068605,stop_loss,70.33333333333333,True
2017-11-30 00:00:00+00:00,2017-11-30 12:00:00+00:00,long,mean_reversion,450.23,392.77,0.5928356063978484,0.28826843746855824,-33.79742156855188,-34.29718198474527,0.4997604161933862,stop_loss,57.07189883372492,False
2017-11-30 16:00:00+00:00,2017-12-03 20:00:00+00:00,long,mean_reversion,431.09,460.3,0.42819345443659856,0.20708981855115427,12.692120720366134,12.310433357015894,0.3816873633502396,stop_loss,49.94711172394935,False
2017-12-11 20:00:00+00:00,2017-12-19 00:00:00+00:00,long,squeeze_breakout,508.7,809.01,0.32687330187893,0.18404486251808966,67.43844034185899,67.03860728463418,0.39983305722481655,take_profit_full,70.0,True
2017-12-19 04:00:00+00:00,2017-12-21 12:00:00+00:00,long,squeeze_breakout,835.0,723.0,0.273889150508279,0.2356854838709678,-30.446887416252835,-30.873606712744735,0.42671929649189866,stop_loss,73.33333333333334,False
2017-12-22 08:00:00+00:00,2017-12-23 20:00:00+00:00,long,mean_reversion,647.0,640.34,0.22901940224505143,0.15775980381911792,-1.3770936656994868,-1.6719195029856313,0.29482583728614453,trend_reversal,39.341254001381714,False
2018-01-02 00:00:00+00:00,2018-01-08 00:00:00+00:00,long,squeeze_breakout,826.92,1208.55,0.27299555427622907,0.24081374547572496,74.57062477978756,74.04478893300733,0.5258358467802442,take_profit_full,73.92760127960561,True
