timestamp,open,high,low,close,volume
2026-03-13 22:45:00+00:00,61933.8,62017.0,61903.7,62009.2,9.33210327
2026-03-13 23:00:00+00:00,62009.2,62030.7,61928.6,62018.1,6.02596372
2026-03-13 23:15:00+00:00,62012.2,62186.0,62010.2,62117.9,6.66216836
2026-03-13 23:30:00+00:00,62096.2,62158.6,62070.5,62132.4,2.68585631
2026-03-13 23:45:00+00:00,62130.1,62182.4,62113.8,62119.7,0.31112657
2026-03-14 00:00:00+00:00,62119.8,62119.8,61960.4,62053.7,1.07178817
2026-03-14 00:15:00+00:00,62053.7,62128.8,61996.4,62087.3,2.13016974
2026-03-14 00:30:00+00:00,62095.5,62114.8,61803.2,61806.0,4.94843114
2026-03-14 00:45:00+00:00,61806.0,61914.8,61806.0,61882.2,1.93350376
2026-03-14 01:00:00+00:00,61866.1,61974.8,61866.1,61919.0,0.71981179
2026-03-14 01:15:00+00:00,61919.1,62006.8,61919.1,61988.2,0.27522843
2026-03-14 01:30:00+00:00,61995.6,62024.6,61751.4,62022.3,5.31820648
2026-03-14 01:45:00+00:00,62018.9,62081.5,62018.9,62031.6,4.37355865
2026-03-14 02:00:00+00:00,62030.3,62081.6,61992.5,62040.3,0.30673413
2026-03-14 02:15:00+00:00,62038.7,62069.8,62000.4,62017.3,0.2662501
2026-03-14 02:30:00+00:00,62017.3,62037.6,61953.8,61978.5,0.55958311
2026-03-14 02:45:00+00:00,61980.2,62075.4,61957.9,62000.9,5.66570459
2026-03-14 03:00:00+00:00,62001.5,62181.8,62001.5,62168.7,0.32704388
2026-03-14 03:15:00+00:00,62184.7,62300.4,62177.9,62211.5,15.05907514
2026-03-14 03:30:00+00:00,62231.1,62337.3,62231.1,62318.5,1.61027346
2026-03-14 03:45:00+00:00,62316.4,62316.4,62250.0,62261.6,0.68214296
2026-03-14 04:00:00+00:00,62258.7,62377.0,62255.5,62358.1,0.58940366
2026-03-14 04:15:00+00:00,62361.1,62372.8,62283.5,62356.6,0.30133269
2026-03-14 04:30:00+00:00,62356.6,62444.0,62308.0,62419.1,1.5865761
2026-03-14 04:45:00+00:00,62430.6,62452.0,62237.8,62237.8,2.17270294
2026-03-14 05:00:00+00:00,62237.9,62306.1,62195.5,62281.1,3.25997852
2026-03-14 05:15:00+00:00,62284.1,62329.2,62241.1,62298.4,0.38690642
2026-03-14 05:30:00+00:00,62294.1,62294.1,62135.1,62179.8,4.6800039
2026-03-14 05:45:00+00:00,62181.1,62228.0,62167.8,62209.3,0.29694739
2026-03-14 06:00:00+00:00,62211.2,62211.2,62109.8,62130.1,0.6591796
2026-03-14 06:15:00+00:00,62130.1,62132.5,61957.4,61957.5,0.92061968
2026-03-14 06:30:00+00:00,61957.5,61975.6,61600.0,61728.2,2.26868574
2026-03-14 06:45:00+00:00,61728.2,61933.6,61710.2,61890.7,5.21528263
2026-03-14 07:00:00+00:00,61883.3,61969.1,61865.1,61962.4,0.31168827
2026-03-14 07:15:00+00:00,61962.4,61962.4,61818.4,61935.8,0.46748373
2026-03-14 07:30:00+00:00,61935.9,61980.7,61780.9,61819.2,8.17523806
2026-03-14 07:45:00+00:00,61801.9,61883.3,61763.4,61858.6,4.45709277
2026-03-14 08:00:00+00:00,61864.8,61951.1,61833.6,61949.3,3.60127629
2026-03-14 08:15:00+00:00,61949.5,61959.9,61870.7,61932.2,1.13901961
2026-03-14 08:30:00+00:00,61930.6,61938.5,61840.0,61840.1,0.8067856
2026-03-14 08:45:00+00:00,61840.1,61861.2,61808.5,61847.9,0.89697029
2026-03-14 09:00:00+00:00,61853.4,61950.3,61834.1,61920.0,2.40783235
2026-03-14 09:15:00+00:00,61951.2,61971.6,61900.1,61947.8,1.57602837
2026-03-14 09:30:00+00:00,61950.9,61950.9,61850.0,61885.6,7.31509196
2026-03-14 09:45:00+00:00,61888.8,61888.9,61687.4,61810.6,7.39649342
2026-03-14 10:00:00+00:00,61792.9,61840.2,61764.6,61812.5,1.81044743
2026-03-14 10:15:00+00:00,61819.5,61819.5,61725.5,61739.9,1.13984366
