opened,closed,side,entry,exit,amount,leverage,gross_pnl,net_pnl,fees,reason
2021-05-16 16:00:00+00:00,2021-05-24 16:00:00+00:00,short,45549.26,39606.1,0.0023582253848644904,0.10741542119379274,14.015310778311253,13.921910667895771,0.20081553160927423,stop_loss
2021-06-08 12:00:00+00:00,2021-06-09 08:00:00+00:00,short,31705.24,34972.42,0.003634711478082702,0.11366911824961076,-11.87525664696223,-12.00237130335256,0.24235405613369587,stop_loss
2021-06-20 08:00:00+00:00,2021-06-24 16:00:00+00:00,short,33872.9,34857.73,0.003894554813912077,0.131696392183817,-3.8354744173850377,-3.9712297575585853,0.26767520592970984,stop_loss
2021-07-23 20:00:00+00:00,2021-07-26 12:00:00+00:00,long,33634.09,38562.21,0.006179647480756652,0.2083481604389282,30.45404434286649,30.21574347898758,0.4461476834149515,take_profit
2021-07-30 20:00:00+00:00,2021-08-01 20:00:00+00:00,long,42206.37,39845.44,0.0038920723856886523,0.15985790809287018,-9.188910457543912,-9.343991794263527,0.31935158389677204,stop_loss
2021-08-09 08:00:00+00:00,2021-08-17 16:00:00+00:00,long,45930.01,45465.01,0.003328563228853056,0.15016397018299366,-1.547781901416671,-1.6991150619021074,0.30421410287228967,stop_loss
2021-09-20 08:00:00+00:00,2021-09-23 16:00:00+00:00,short,43739.75,44767.57,0.004375174759994126,0.18831062697532264,-4.496892121817161,-4.692758064147431,0.3872349925387233,stop_loss
2021-10-06 12:00:00+00:00,2021-10-13 04:00:00+00:00,long,54984.19,54612.61,0.003235165588268773,0.17588538571959808,-1.2021228292889163,-1.3788036658464593,0.35456379594437504,stop_loss
2021-11-18 12:00:00+00:00,2021-11-28 20:00:00+00:00,short,58100.04,57274.88,0.0025424014950118775,0.14628000264361268,2.0978880176240096,1.9522722770853838,0.2933293690948758,stop_loss
2021-12-31 16:00:00+00:00,2022-01-12 12:00:00+00:00,short,45728.28,43560.29,0.003893861751671156,0.17601690344921908,8.441853339005542,8.272235591882838,0.34767734758441265,stop_loss
2022-01-21 20:00:00+00:00,2022-01-25 16:00:00+00:00,short,36445.31,37067.13,0.0033778139293292155,0.12072723443925476,-2.100392257535492,-2.2255981255697486,0.2483113438109782,stop_loss
2022-02-18 12:00:00+00:00,2022-02-24 20:00:00+00:00,short,39832.03,38327.21,0.004620592889069169,0.18090872137252884,6.953160591329065,6.776066157345205,0.36114202855905053,stop_loss
2022-04-11 16:00:00+00:00,2022-04-14 00:00:00+00:00,short,39985.33,41320.0,0.006611725692805095,0.2581902845632037,-8.824471930416165,-9.097668436042872,0.537568539322997,stop_loss
2022-05-05 16:00:00+00:00,2022-05-09 20:00:00+00:00,short,36316.0,30076.31,0.004988004338641441,0.17854113424806203,31.12360079177761,30.973580027007284,0.33116513033242756,take_profit
2022-06-12 00:00:00+00:00,2022-06-13 12:00:00+00:00,short,27553.23,23271.54,0.007510075491778064,0.19794545720450846,32.15581513239121,31.98104411018128,0.381697859552257,take_profit
2022-06-18 04:00:00+00:00,2022-06-19 16:00:00+00:00,short,19258.58,20124.08,0.005777230677833431,0.10329253723052229,-5.000193151664835,-5.116454604004009,0.22752271152668357,stop_loss
2022-07-18 12:00:00+00:00,2022-07-18 16:00:00+00:00,long,22675.83,21617.92,0.008161175586939991,0.17264491077801547,-8.633789265179715,-8.810216906124136,0.36148907115402323,trend_reversal
2022-07-19 12:00:00+00:00,2022-07-25 00:00:00+00:00,long,23136.08,21867.75,0.005452061261204847,0.11867199381552447,-6.915012859423953,-7.034237172068665,0.24536363814884854,stop_loss
2022-07-28 12:00:00+00:00,2022-08-01 16:00:00+00:00,long,23745.57,22953.59,0.007533280845586656,0.16943378426418243,-5.9662077640877165,-6.139123603972166,0.3517978875329866,stop_loss
2022-09-19 04:00:00+00:00,2022-09-19 16:00:00+00:00,short,18468.74,19514.8,0.012922645648650654,0.2274200296850094,-13.517862707227472,-13.77004555253176,0.49084782790134807,stop_loss
2022-10-26 08:00:00+00:00,2022-11-02 20:00:00+00:00,long,20607.81,20151.84,0.015283525735567365,0.30418073127530376,-6.968829229646669,-7.276820394905705,0.6229511597477184,stop_loss
2022-11-04 12:00:00+00:00,2022-11-07 04:00:00+00:00,long,20838.7,20635.74,0.01413935489230227,0.28666355512103087,-2.869723468941656,-3.161499520266934,0.586421826119497,stop_loss
2022-11-08 16:00:00+00:00,2022-11-15 12:00:00+00:00,short,18256.64,16987.03,0.007174221197878246,0.12785881117044565,9.108462975038204,8.98659426432321,0.2528458844050256,stop_loss
2022-12-14 12:00:00+00:00,2022-12-15 12:00:00+00:00,long,18061.83,17429.05,0.02217322838880164,0.3876033155395791,-14.030775459865957,-14.4172337661158,0.7869473879595523,stop_loss
2023-01-11 20:00:00+00:00,2023-01-13 12:00:00+00:00,long,17943.26,19261.19,0.026820372170365203,0.4725374616730305,35.34737309448942,34.8307808102453,0.9978371953937437,take_profit
2023-01-14 00:00:00+00:00,2023-01-30 08:00:00+00:00,long,20967.23,23077.47,0.008984583038061033,0.17893808605804762,18.95962651023793,18.752285064714567,0.39572326453648676,stop_loss
2023-02-15 20:00:00+00:00,2023-02-16 20:00:00+00:00,long,24324.05,23517.72,0.011538333456430575,0.2619699478616749,-9.303704415923644,-9.57505971141861,0.5520142954058567,stop_loss
2023-03-09 16:00:00+00:00,2023-03-12 16:00:00+00:00,short,20854.93,20779.54,0.01251403007549821,0.24586243715948197,0.9434327273918028,0.6833969388767847,0.521015009757428,stop_loss
2023-03-14 12:00:00+00:00,2023-03-22 16:00:00+00:00,long,25894.67,26667.33,0.005016970195586578,0.12233912224028586,3.876412191321943,3.742622991516071,0.2637019874204217,stop_loss
2023-04-20 16:00:00+00:00,2023-04-20 20:00:00+00:00,short,28104.38,28243.65,0.009060446652479048,0.23898028294767296,-1.261848405290761,-1.517748489387051,0.510538319787289,trend_reversal
2023-04-21 16:00:00+00:00,2023-04-25 20:00:00+00:00,short,27279.91,28300.79,0.009026214730967137,0.2314781783882478,-9.21468209454974,-9.470131102145748,0.5016833330974652,stop_loss
2023-05-12 04:00:00+00:00,2023-05-17 16:00:00+00:00,short,26311.52,27385.09,0.008614620309856673,0.2150446553538409,-9.248397926052826,-9.48431007855408,0.4625759070764529,stop_loss
2023-06-20 20:00:00+00:00,2023-06-23 12:00:00+00:00,long,28307.99,31238.0,0.011226446365274367,0.3043110283531375,32.89360011471753,32.54290838315909,0.6684898630021638,take_profit
2023-07-13 16:00:00+00:00,2023-07-14 16:00:00+00:00,long,31606.01,30115.17,0.012018894258892545,0.352859572805314,-17.918248316927365,-18.280199360745936,0.7418203359540734,stop_loss
2023-08-17 00:00:00+00:00,2023-08-17 20:00:00+00:00,short,28657.31,26623.41,0.022635044180020474,0.6131662470149976,46.03741635774367,45.43479429617087,1.2512815395033414,take_profit
2023-08-22 16:00:00+00:00,2023-08-23 16:00:00+00:00,short,25779.99,26632.0,0.02277901916031743,0.5325638609862009,-19.407952114782017,-20.01460295305959,1.1938937244403656,stop_loss
