opened,closed,side,entry_type,entry,exit,amount,leverage,gross_pnl,net_pnl,fees,reason,sentiment
2021-05-04 12:00:00+00:00,2021-05-05 12:00:00+00:00,short,squeeze_breakout,53799.33,57636.74,0.007486739113345486,0.40278154818278117,-28.729687540943072,-29.161198776666797,0.8342927839065055,stop_loss,61.509922378237974
2021-05-10 20:00:00+00:00,2021-05-11 16:00:00+00:00,short,squeeze_breakout,55816.14,56608.94,0.0063756210976027095,0.36670378320238983,-5.054592406179447,-5.415509558356373,0.7167797119476724,trend_reversal,63.23276495161281
2021-05-12 20:00:00+00:00,2021-05-23 12:00:00+00:00,short,squeeze_breakout,49631.32,33318.09,0.004962593095959179,0.25532193659121466,80.95592257079419,80.79057844738963,0.41164416937988735,take_profit,34.66916691544484
2021-06-07 20:00:00+00:00,2021-06-09 04:00:00+00:00,short,squeeze_breakout,33552.79,34169.05,0.010954452632711515,0.3516545253507835,-6.750790979434821,-7.125094219164572,0.741855688480068,stop_loss,39.27446107493512
2021-06-10 00:00:00+00:00,2021-06-11 04:00:00+00:00,short,mean_reversion,36959.69,37147.55,0.011492098256355346,0.409306857260472,-2.158905578438922,-2.585808873021795,0.8516476835873072,trend_reversal,72.70813144751244
2021-06-17 16:00:00+00:00,2021-06-24 16:00:00+00:00,short,squeeze_breakout,37702.53,34857.73,0.005409110862820802,0.19709677780715262,15.387838582552593,15.199289256556318,0.39248649057510177,stop_loss,79.64804490047649
2021-06-26 04:00:00+00:00,2021-06-27 04:00:00+00:00,short,squeeze_breakout,30720.37,33283.17,0.008635402949616379,0.2527222075319808,-22.13081067927685,-22.418224263667433,0.5526963581018899,stop_loss,32.13763313446577
2021-07-08 04:00:00+00:00,2021-07-11 20:00:00+00:00,short,squeeze_breakout,32487.57,34258.99,0.013500801879416312,0.4270698559238004,-23.91559046523562,-24.378114301814524,0.9011320826925736,stop_loss,65.72811654598956
2021-07-12 04:00:00+00:00,2021-07-13 16:00:00+00:00,short,mean_reversion,34281.74,32309.69,0.03186875439105203,1.090117169382508,62.846777096874135,61.81710752181311,2.1221859272189336,take_profit,74.62859817167202
2021-07-14 00:00:00+00:00,2021-07-21 04:00:00+00:00,short,squeeze_breakout,31830.01,30817.84,0.016139883184111387,0.4833195480689242,16.336305562461995,15.838909224875358,1.0111289807357324,stop_loss,51.6591115005547
2021-07-22 16:00:00+00:00,2021-07-23 04:00:00+00:00,short,mean_reversion,32376.93,32490.0,0.02653661723764032,0.7968223581441901,-3.000495311059983,-3.862670005110917,1.721348892790808,trend_reversal,73.30355326053727
2021-08-04 08:00:00+00:00,2021-08-05 08:00:00+00:00,long,mean_reversion,38160.06,38008.38,0.021310811333488423,0.7575221645498224,-3.2324238630635302,-4.042413278335065,1.623211254406133,stop_loss,57.275267720617194
2021-08-05 16:00:00+00:00,2021-08-12 12:00:00+00:00,long,squeeze_breakout,40692.24,44196.19,0.01045723246431927,0.3981836900871933,36.64161969335156,36.17944986048433,0.8876980460410939,stop_loss,61.07633496983421
2021-09-14 12:00:00+00:00,2021-09-20 00:00:00+00:00,long,squeeze_breakout,46754.42,45542.76,0.010396361887333961,0.44011586492914107,-12.596855844407028,-13.070334858715025,0.9595548844604023,stop_loss,40.7967898273133
2021-10-01 08:00:00+00:00,2021-10-06 12:00:00+00:00,long,squeeze_breakout,47488.08,54984.19,0.009925210300704023,0.4320669748434908,74.40046818721044,73.85473853824656,1.0170588297405239,trend_reversal,62.85029826344902
2021-10-24 16:00:00+00:00,2021-10-26 16:00:00+00:00,long,mean_reversion,60643.09,62000.0,0.016026944879749382,0.8348035849415774,21.74712177678079,20.75345119423633,1.9655940433121426,stop_loss,71.91154728397466
2021-11-02 12:00:00+00:00,2021-11-04 12:00:00+00:00,long,squeeze_breakout,64018.73,61035.01,0.009203454406151586,0.49761465801499816,-27.46053098072262,-28.022263912436625,1.1509263944087347,stop_loss,74.26505388647819
2021-11-12 16:00:00+00:00,2021-11-15 12:00:00+00:00,long,mean_reversion,63845.01,64288.16,0.012320964325120467,0.6808167423171911,5.460035340677153,4.667943214789516,1.5787242164345963,stop_loss,72.24302683139511
2021-11-19 00:00:00+00:00,2021-11-20 16:00:00+00:00,short,squeeze_breakout,55900.0,59430.04,0.007192393538270415,0.34680661830754306,-25.3894368858361,-25.816881121511255,0.8294990344644686,stop_loss,38.470652650021904
2021-11-29 20:00:00+00:00,2021-12-01 12:00:00+00:00,short,mean_reversion,57776.25,58614.49,0.017267117479328152,0.8804528990476487,-14.473988555871996,-15.4860918406929,2.0097325810859386,stop_loss,37.24483934584326
2021-12-21 12:00:00+00:00,2021-12-22 04:00:00+00:00,short,mean_reversion,48418.49,49206.42,0.019304812784053813,0.837101519075193,-15.210841136939527,-16.160761862813047,1.884630610610103,trend_reversal,65.79610856474557
